Date,Company,Role,Experience,Location,External URL
2026-05-22 00:59:49,Kognivera,IIT AI/ML Engineer Fresher,0-5 Yrs,Bengaluru,https://kognivera.keka.com/careers/jobdetails/140594
2026-05-22 13:26:52,Tesco,Software Development Engineer II,3-8 Yrs,Bengaluru,https://careers.tesco.com/en_GB/careers/JobDetail/Software-Development-Engineer-II/157970
2026-05-22 13:27:06,ANZ,AI Engineer,1-5 Yrs,Bengaluru,https://careers.anz.com/job/Bengaluru-AI-Engineer/1361268266
2026-05-22 13:28:24,Covalense Global,AI Engineer,2-5 Yrs,Hyderabad,https://www.covalenseglobal.com/jobs/ai-engineer
2026-05-22 13:32:10,Birlasoft,Data Scientist,3-9 Yrs,Hyderabad,https://jobs.birlasoft.com/job/Hyderabad-Data-Scientist-INDI/55943944
2026-05-22 13:59:10,Kapture Crm,AI/ML Application Engineer,2-6 Yrs,Bengaluru,https://kapturecrm.keka.com/careers/jobdetails/141093
2026-05-22 23:04:49,Onder Shipthis Technologies,Junior Software Engineer,1-6 Yrs,Bengaluru,https://shipthis.keka.com/careers/jobdetails/141660
2026-05-22 23:05:26,Bhyve,Backend Software Engineer,1-3 Yrs,Remote,https://bhyve.io/company/careers/2
2026-05-22 23:06:55,Happiest Minds Technologies,AI ENGINEER - Python,1-6 Yrs,Bengaluru,https://jobs.happiestminds.com/happiestminds/jobview/technical-lead-lead-bengaluru-2026021319530370?id=945261
2026-05-22 23:07:29,Bhyve,Backend Software Engineer,1-3 Yrs,Remote,https://bhyve.io/company/careers/2
2026-05-22 23:07:34,Onder Shipthis Technologies,Junior Software Engineer,1-6 Yrs,Bengaluru,https://shipthis.keka.com/careers/jobdetails/141660
2026-05-22 23:09:34,Bhyve,Backend Software Engineer,1-3 Yrs,Remote,https://bhyve.io/company/careers/2
2026-05-22 23:10:39,Bhyve,Backend Software Engineer,1-3 Yrs,Remote,chrome-error://chromewebdata/
2026-05-22 23:10:45,Onder Shipthis Technologies,Junior Software Engineer,1-6 Yrs,Bengaluru,https://shipthis.keka.com/careers/jobdetails/141660
2026-05-23 09:57:49,Environmental Resources Management (ERM),AI & ML Consultant,2-3 Yrs,Kolkata,https://erm.wd3.myworkdayjobs.com/en-US/ERM_Careers/job/Kolkata-India/AI---ML-Consultant_R00027999-1
2026-05-23 10:00:35,Bert Labs,Research Engineer/Lead- Data Scientist,2-12 Yrs,Bengaluru,https://www.bertlabs.com/careers/5Z5v4NqzurYJTvdNOSFEnN
2026-05-23 10:06:15,Atomic Arts India,Machine Learning Engineer VFX,2-5 Yrs,Mumbai,https://www.careers-page.com/atomic-arts/job/7XW69635
2026-05-23 11:00:33,Onder Shipthis Technologies,Junior Software Engineer,1-6 Yrs,Bengaluru,https://shipthis.keka.com/careers/jobdetails/141660
2026-05-23 11:02:04,Happiest Minds Technologies,AI ENGINEER - Python,1-6 Yrs,Bengaluru,https://jobs.happiestminds.com/happiestminds/jobview/technical-lead-lead-bengaluru-2026021319530370?id=945261
2026-05-23 11:02:38,Bhyve,Backend Software Engineer,1-3 Yrs,Remote,https://bhyve.io/company/careers/2
2026-05-23 11:02:49,Makemytrip,Developer - Backend,0-5 Yrs,"Mumbai, Gurugram",https://gommt.darwinbox.in/ms/candidatev2/main/careers/jobDetails/a67d7915b19152
2026-05-23 11:02:55,Dmacq Software,Fullstack MERN Developer,2-5 Yrs,Mumbai,https://dmacq.com/resources/career/Fullstack-MERN-Developer
2026-05-23 11:03:02,Light & Wonder,Associate Software Engineer,0-2 Yrs,Bengaluru,https://sglottery.wd5.myworkdayjobs.com/en-US/scientificgamesexternalcareers/jobBangalore-India/Associate-Software-Engineer_R504272
2026-06-23 15:08:22,CapeStart,Machine Learning Engineer (ML / DL / GenAI),1-5 Yrs,"Chennai, Nagercoil",https://careers.capestart.com/capestart/#%21%2Fjob-view%2Fmachine-learning-engineer-ml-dl-genai--nagercoil-tamil-nadu-india-chennai-tamil-nadu-india-2026052612102447%2F%3Fsource=naukri
2026-06-23 15:08:28,Roku,Software Engineer - Machine Learning,2-6 Yrs,Bengaluru,https://www.weareroku.com/jobs/software-engineer-machine-learning-bengaluru-karnataka-india
